Mars Attacks Red Sonja,John Layman,3.42 avg rating — 43 ratings,False,
Martha Washington Saves the World,Frank Miller,3.60 avg rating — 323 ratings,False,
Martian Ghost Centaur,Mat Heagerty,3.60 avg rating — 544 ratings,False,
Marvel 1602,Neil Gaiman|(Writer),"3.95 avg rating — 58,831 ratings",False,
"Marvel Epic Collection: Namor, the Sub-Mariner - Who Strikes for Atlantis",,,False,
"Marvel Masterworks: The Amazing Spider-Man, Vol. 1",Stan Lee,"4.30 avg rating — 4,932 ratings",False,
"Marvel Masterworks: The Uncanny X-Men, Vol. 1",Len Wein|(Writer),"4.14 avg rating — 2,647 ratings",False,
Marvel-Verse: Mary Jane,Sean McKeever,3.29 avg rating — 17 ratings,False,
Marvels,Kurt Busiek,"4.28 avg rating — 38,342 ratings",False,
Marzi: A Memoir,Marzena Sowa,"3.90 avg rating — 1,608 ratings",False,
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"4.38 avg rating — 342,544 ratings",False,
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,"4.42 avg rating — 150,995 ratings",False,
"Maximum Ride, Vol. 1 (Maximum Ride: The Manga, #1)",NaRae Lee|(adapter/Illustrator),"4.25 avg rating — 32,573 ratings",False,
Maybe Later,Charles Berberian,3.59 avg rating — 143 ratings,False,
Meadowlark: A Coming-of-Age Crime Story,Ethan Hawke,3.45 avg rating — 573 ratings,False,
Meanwhile,Jason Shiga,"3.94 avg rating — 4,168 ratings",False,
Medea,Blandine Le Callet,4.29 avg rating — 473 ratings,False,
Megahex,Simon Hanselmann,"3.91 avg rating — 3,814 ratings",False,
Mel the Chosen,Rachele Aragno,3.37 avg rating — 605 ratings,False,
Memento Mori,Tiitu Takalo,4.39 avg rating — 943 ratings,False,
Memories from Limón,Edo Brenes,3.64 avg rating — 315 ratings,False,
Men I Trust,Tommi Parrish,3.75 avg rating — 719 ratings,False,
"Men of the Harem, Vol. 1 (Men of the Harem, 1)",Alphatart|(original_author),4.41 avg rating — 17 ratings,False,
Men to Avoid in Art and Life,Nicole Tersigni,"3.95 avg rating — 2,143 ratings",False,
Meskin and Umezo,Austin English,4.69 avg rating — 16 ratings,False,
"Message to Adolf, Part 1",Osamu Tezuka,"4.29 avg rating — 1,624 ratings",False,
Messy Roots: A Graphic Memoir of a Wuhanese American,Laura Gao,"4.24 avg rating — 5,086 ratings",False,
Metaphrog's Bluebeard,Metaphrog,3.48 avg rating — 106 ratings,False,
"Metropol (Collected Edition, Volume 4)",Ted McKeever,4.42 avg rating — 33 ratings,False,
"Mickey Mouse, Vol. 1: Race to Death Valley",Floyd Gottfredson,4.16 avg rating — 462 ratings,False,
Middle School Misadventures: Operation: Hat Heist!,Jason Platt,4.06 avg rating — 96 ratings,False,
Middlewest,Skottie Young,4.23 avg rating — 533 ratings,False,
Midnight Nation,J. Michael Straczynski,"4.04 avg rating — 1,727 ratings",False,
"Mighty Jack (Mighty Jack, #1)",Ben Hatke,"4.15 avg rating — 8,321 ratings",False,
Miles Morales: Shock Waves,Justin A. Reynolds,"3.87 avg rating — 1,842 ratings",False,
Miles Morales: Spiderman Retribution,,,False,
Miles to Go,,,False,
Milk & Mocha: Our Little Happiness,Melani Sie,4.37 avg rating — 921 ratings,False,
Mimosa: A Graphic Novel,Archie Bongiovanni,"3.73 avg rating — 1,768 ratings",False,
"MIND MGMT, Volume One: The Manager","Matt Kindt|(Writer, Artist)","4.01 avg rating — 4,071 ratings",False,
Ministry of Space,Warren Ellis,"3.70 avg rating — 1,599 ratings",False,
"Miracleman, Book One: A Dream of Flying",Alan             Moore|(Writer),"4.24 avg rating — 4,849 ratings",False,
"Miracleman, Book Three: Olympus",Alan             Moore|(Writer),"4.36 avg rating — 2,519 ratings",False,
"Miracleman, Book Two: The Red King Syndrome",Alan             Moore|(Writer),"4.32 avg rating — 2,846 ratings",False,
"Mirka Andolfo's Mercy: The Fair Lady, The Frost, and The Fiend",Mirka Andolfo|(Writer/Illustrator/Colorist),"3.66 avg rating — 1,185 ratings",False,
"Miss Don't Touch Me, Vol. 1",Hubert,"3.71 avg rating — 1,086 ratings",False,
Miss Quinces,Kat Fajardo,"4.18 avg rating — 3,084 ratings",False,
Miss Truesdale and the Fall of Hyperborea,Mike Mignola,3.27 avg rating — 173 ratings,False,
Missing You,Phellip Willian,4.11 avg rating — 235 ratings,False,
Mister Blank Exhaustive Collection,Christopher Hicks,4.12 avg rating — 25 ratings,False,
Mister Miracle,Tom King|(Writer),"4.42 avg rating — 7,716 ratings",False,
Mister Wonderful: A Love Story,Daniel Clowes,"3.81 avg rating — 4,490 ratings",False,
Mom's Cancer,Brian Fies,"3.93 avg rating — 1,633 ratings",False,
Moms,Yeong-shin Ma,"3.64 avg rating — 1,169 ratings",False,
Monica,Daniel Clowes,"3.95 avg rating — 3,952 ratings",False,
"Monkey Food: The Complete ""I Was Seven in '75"" Collection",Ellen Forney,4.07 avg rating — 197 ratings,False,
Monologues for the Coming Plague,Anders Nilsen,3.34 avg rating — 317 ratings,False,
Monster Friends,Kaeti Vandorn,3.99 avg rating — 815 ratings,False,
Monster on the Hill,Rob Harrell,"4.00 avg rating — 5,164 ratings",False,
Monsters,Barry Windsor-Smith,"4.14 avg rating — 2,643 ratings",False,
Monstress #1,Marjorie M. Liu,"4.17 avg rating — 3,562 ratings",False,
"Monstress, Vol. 5: Warchild",Marjorie M. Liu,"4.34 avg rating — 5,721 ratings",False,
Monumental: Oscar Dunn and His Radical Fight in Reconstruction Louisiana,Brian K. Mitchell,4.02 avg rating — 63 ratings,False,
"Moomin: The Complete Tove Jansson Comic Strip, Vol. 01",Tove Jansson,"4.35 avg rating — 5,891 ratings",False,
"Moon Knight, Vol. 1: From the Dead",Warren Ellis,"4.12 avg rating — 7,618 ratings",False,
"Moon Knight, Vol. 1: Lunatic",Jeff Lemire|(Writer),"4.03 avg rating — 4,816 ratings",False,
"Morgana and Oz, Vol. 1",Miyuli,"4.39 avg rating — 1,015 ratings",False,
"Morning Glories, Vol. 1: For a Better Future",Nick Spencer,"3.76 avg rating — 9,598 ratings",False,
Morrison Hotel: Graphic Novel,Leah Moore,3.63 avg rating — 112 ratings,False,
Mort Cinder,Héctor Germán Oesterheld,4.27 avg rating — 837 ratings,False,
"Mother, Come Home",Paul Hornschemeier,"4.06 avg rating — 2,387 ratings",False,
"Mouse Guard: Fall 1152 (Mouse Guard, #1)",David Petersen,"4.01 avg rating — 13,808 ratings",False,
"Mouse Guard: Legends of the Guard, Vol. 1",David Petersen,"3.97 avg rating — 2,720 ratings",False,
"Mouse Guard: The Black Axe (Mouse Guard, #0.5)",David Petersen,"4.19 avg rating — 3,475 ratings",False,
"Mouse Guard: Winter 1152 (Mouse Guard, #2)",David Petersen,"4.22 avg rating — 7,786 ratings",False,
MPLS Sound,Joe Illidge,3.49 avg rating — 182 ratings,False,
Mr. Boop,Alec Robbins,4.26 avg rating — 213 ratings,False,
"Ms. Marvel, Vol. 1: No Normal",G. Willow Wilson,"4.11 avg rating — 91,972 ratings",False,
Mummies in the Morning Graphic Novel,Mary Pope Osborne,4.13 avg rating — 470 ratings,False,
Murder Book: A Graphic Memoir of a True Crime Obsession,Hilary Fitzgerald Campbell,"3.67 avg rating — 1,896 ratings",False,
Murder Mysteries,Neil Gaiman,"4.06 avg rating — 5,901 ratings",False,
"Mushishi, Vol. 1",Yuki Urushibara,"4.29 avg rating — 7,340 ratings",False,
Music for Mechanics,Jaime Hernández,"4.20 avg rating — 1,986 ratings",False,
Mutant World,Jan Strnad,3.76 avg rating — 89 ratings,False,
Mutta suurin on rakkaus,Pauli Kallio,3.20 avg rating — 127 ratings,False,
MW,Osamu Tezuka,"3.93 avg rating — 2,324 ratings",False,
My Aunt Is a Monster,Reimena Yee,"3.93 avg rating — 1,670 ratings",False,
My Badly Drawn Life,Gipi,"4.24 avg rating — 1,635 ratings",False,
My Begging Chart,Keiler Roberts,3.78 avg rating — 578 ratings,False,
My Brain is Hanging Upside Down,David Heatley,3.54 avg rating — 474 ratings,False,
"My Favorite Thing Is Monsters, Vol. 1 (My Favorite Thing Is Monsters, #1)",Emil Ferris,"4.24 avg rating — 23,448 ratings",False,
"My Favorite Thing Is Monsters, Vol. 2 (My Favorite Thing Is Monsters, #2)",Emil Ferris,"4.25 avg rating — 1,456 ratings",False,
"My Favorite Thing Is Monsters, Vol. 2 (My Favorite Thing Is Monsters, #2)",Emil Ferris,"4.22 avg rating — 2,050 ratings",False,
"My Favorite Thing Is Monsters: Book Two (My Favorite Thing is Monsters, #2)",Emil Ferris,"4.22 avg rating — 2,050 ratings",False,
My Friend Dahmer: A Graphic Novel,Derf Backderf,"3.92 avg rating — 31,928 ratings",False,
My Last Summer with Cass,Mark Crilley,"3.79 avg rating — 1,758 ratings",False,
My Lesbian Experience with Loneliness,Kabi Nagata,"4.11 avg rating — 26,962 ratings",False,
My Life Among Humans,Jed M. McGowan,3.67 avg rating — 287 ratings,False,
My New York Diary,Julie Doucet,"3.83 avg rating — 2,975 ratings",False,
My Own World,Mike Holmes,3.25 avg rating — 343 ratings,False,
My Pencil and Me,Sara Varon,3.76 avg rating — 172 ratings,False,
My Riot,Rick Spears,3.71 avg rating — 618 ratings,False,
"My Secretly Hot Husband, Vol. 1 (My Secretly Hot Husband, 1)",Jungyeon|(original_author),3.97 avg rating — 545 ratings,False,
"My Weird School Graphic Novel: Mr. Corbett Is in Orbit! (My Weird School Graphic Novel, 1)",Dan Gutman,4.22 avg rating — 433 ratings,False,
My Werewolf Professor: Volume 1 Graphic Novel,Emilia  Rose,4.20 avg rating — 5 ratings,False,
Mythology: The DC Comics Art of Alex Ross,Alex Ross|(Illustrator),"4.34 avg rating — 2,289 ratings",False,
"Nana, Vol. 1",Ai Yazawa,"4.36 avg rating — 60,271 ratings",False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #1,Anthony Del Col,3.48 avg rating — 117 ratings,False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #2,Anthony Del Col,3.55 avg rating — 38 ratings,False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #3,Anthony Del Col,3.18 avg rating — 34 ratings,False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #4,Anthony Del Col,3.42 avg rating — 33 ratings,False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #5,Anthony Del Col,3.33 avg rating — 27 ratings,False,
Nancy Drew & The Hardy Boys: The Death of Nancy Drew #6,Anthony Del Col|(Writer),3.17 avg rating — 29 ratings,False,
Nancy Drew and the Hardy Boys: The Death of Nancy Drew,Anthony Del Col,3.23 avg rating — 150 ratings,False,
"Naoki Urasawa's Monster, Volume 1 (Naoki Urasawa's Monster: Kanzenban, #1)",Naoki Urasawa,"4.57 avg rating — 9,867 ratings",False,
"Naoki Urasawa's Monster, Volume 1: Herr Dr. Tenma (Naoki Urasawa's Monster, #1)",Naoki Urasawa,"4.47 avg rating — 13,713 ratings",False,
"Naruto, Vol. 05: The Challengers (Naruto, #5)",Masashi Kishimoto,"4.49 avg rating — 24,084 ratings",False,
"Naruto, Vol. 07: The Path You Should Tread (Naruto, #7)",Masashi Kishimoto,"4.45 avg rating — 15,770 ratings",False,
"Naruto, Vol. 1: Uzumaki Naruto (Naruto, #1)",Masashi Kishimoto,"4.41 avg rating — 215,352 ratings",False,
"Naruto, Vol. 11: Impassioned Efforts (Naruto, #11)",Masashi Kishimoto,"4.56 avg rating — 29,323 ratings",False,
Nat Enough (Nat Enough #1),Maria Scrivan,"4.08 avg rating — 5,219 ratings",False,
Nat Turner,Kyle Baker,"4.03 avg rating — 1,683 ratings",False,
"Nausicaä of the Valley of the Wind, Vol. 1 (Nausicaä of the Valley of the Wind, #1)",Hayao Miyazaki,"4.46 avg rating — 11,988 ratings",False,
Necromorfus Vol. 1,Gabriel Arrais,4.00 avg rating — 2 ratings,False,
Neil Gaiman's Neverwhere,Mike Carey,"4.29 avg rating — 44,787 ratings",False,
"Neon Genesis Evangelion, Vol. 1",Yoshiyuki Sadamoto,"4.19 avg rating — 10,048 ratings",False,
Neonomicon,Alan             Moore,"3.46 avg rating — 6,675 ratings",False,
Nervosa,Hayley Gold,3.82 avg rating — 260 ratings,False,
Nevermore,Dan Whitehead|(Editor),3.58 avg rating — 630 ratings,False,
"New Kid (New Kid, #1)",Jerry Craft,"4.16 avg rating — 57,378 ratings",False,
New Pets,Jesse Jacobs,4.39 avg rating — 70 ratings,False,
New X-Men Omnibus,Grant Morrison,"4.23 avg rating — 3,815 ratings",False,
"NextWave: Agents of H.A.T.E., Vol. 1: This is What They Want",Warren Ellis|(Writer),"4.15 avg rating — 4,483 ratings",False,
"Nexus Archives, Vol. 1",Mike Baron,3.93 avg rating — 176 ratings,False,
"Nick Fury, Agent of S.H.I.E.L.D.",Jim Steranko|(Author and Illustrator),4.09 avg rating — 670 ratings,False,
Nico Bravo and the Cellar Dwellers,Mike Cavallaro,4.24 avg rating — 86 ratings,False,
Night Bus,Zuo Ma,3.16 avg rating — 762 ratings,False,
Night Fever,Ed Brubaker,"3.86 avg rating — 2,059 ratings",False,
Night of the Living Dead: A Graphic Novel,Stephen A. Dymarcik II,3.85 avg rating — 39 ratings,False,
"Nightmare Country, Vol. 1",James Tynion IV,4.09 avg rating — 713 ratings,False,
"Nightmare Country, Vol. 2: The Glass House",James Tynion IV|(editor),4.02 avg rating — 253 ratings,False,
Nimona,N.D. Stevenson,"4.18 avg rating — 170,102 ratings",False,
"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!, Vol. 1 (Volume 1) (No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!, 1)",Nico Tanigawa,"3.82 avg rating — 1,817 ratings",False,
No One Else,R. Kikuo Johnson,"3.65 avg rating — 1,425 ratings",False,
No One Returns from the Enchanted Forest,Robin Robinson,3.98 avg rating — 825 ratings,False,
No Place for Monsters,Kory Merritt,3.83 avg rating — 790 ratings,False,
"No. 5, Volume 1",Taiyo Matsumoto,4.13 avg rating — 209 ratings,False,
Nod Away Vol. 2 (NOD AWAY GN),Joshua W. Cotter,4.38 avg rating — 71 ratings,False,
NOiSE,Tsutomu Nihei,"3.86 avg rating — 1,051 ratings",False,
Noisemakers: 25 Women Who Raised Their Voices & Changed the World - A Graphic Collection from Kazoo,Erin Bried|(Editor),4.27 avg rating — 326 ratings,False,
NonNonBa,Shigeru Mizuki,"4.25 avg rating — 1,773 ratings",False,
Northranger,Rey Terciero,"4.06 avg rating — 3,225 ratings",False,
not simple (1),Natsume Ono,"3.88 avg rating — 1,398 ratings",False,
"Not-Sew-Wicked Stepmom, Vol. 3 (Not-Sew-Wicked Stepmom, #3)",Mo9Rang|(Illustrator),4.50 avg rating — 454 ratings,False,
"Not-Sew-Wicked Stepmom, Vol. 4 (Not-Sew-Wicked Stepmom, 4)",Mo9Rang|(Illustrator),4.48 avg rating — 304 ratings,False,
"Not-Sew-Wicked Stepmom, Vol. 5 (Not-Sew-Wicked Stepmom, 5)",Mo9Rang|(Illustrator),4.52 avg rating — 162 ratings,False,
Notes for a War Story,Gipi,"3.93 avg rating — 1,334 ratings",False,
Now Let Me Fly: A Portrait of Eugene Bullard,Ronald Wimberly,4.27 avg rating — 273 ratings,False,
Nubia: Real One,L.L. McKinney,"4.34 avg rating — 3,065 ratings",False,
Nylon Road: A Graphic Memoir of Coming of Age in Iran,Parsua Bashi,3.42 avg rating — 436 ratings,False,
Obélix et Compagnie,René Goscinny,"4.17 avg rating — 6,475 ratings",False,
"Oddball (Sarah's Scribbles, #4)",Sarah Andersen,"4.22 avg rating — 7,699 ratings",False,
"Oddly Normal Book 1 (Oddly Normal, 1)",Otis Frampton|(Creator),3.82 avg rating — 892 ratings,False,
Ode to Kirihito,Osamu Tezuka,"4.05 avg rating — 2,031 ratings",False,
Odessa (1),Jonathan    Hill,"3.47 avg rating — 1,248 ratings",False,
"Off the Hook (InvestiGators, #3)",John Patrick Green,"4.47 avg rating — 1,027 ratings",False,
Oh My Gods! (OMGs #1),Stephanie  Cooke,"3.59 avg rating — 1,495 ratings",False,
Om,Andy Barron,4.52 avg rating — 23 ratings,False,
Omega the Unknown,Jonathan Lethem,3.61 avg rating — 999 ratings,False,
Omni Vol. 1: The Doctor Is In,Devin Grayson,3.62 avg rating — 214 ratings,False,
On a Sunbeam,Tillie Walden,"4.30 avg rating — 31,240 ratings",False,
On Ajayi Crowther Street,Elnathan John,4.01 avg rating — 191 ratings,False,
Once Upon a Space-Time!,Jeffrey Brown,3.64 avg rating — 148 ratings,False,
Once Upon A Time at the End of the World 1: Love in the Wasteland,,,False,
Once Upon A Time at the End of the World 2:The Rise and Fall of Golgonooza,,,False,
Once Upon A Time at the End of the World 3: Not Even If You're the Last Person on Earth,,,False,
"Once Upon a Time at the End of the World, Vol. 2",Jason Aaron,3.75 avg rating — 188 ratings,False,
One Beautiful Spring Day,Jim Woodring,4.18 avg rating — 235 ratings,False,
One Cup at a Time: A Cat's Café Collection,Matt Tarpley,4.42 avg rating — 885 ratings,False,
One Hundred Demons,Lynda Barry,"4.18 avg rating — 9,622 ratings",True,
"One Piece, Volume 1: Romance Dawn (One Piece, #1)",Eiichiro Oda,"4.48 avg rating — 151,214 ratings",False,
One Year at Ellsmere,Faith Erin Hicks,"3.67 avg rating — 4,388 ratings",False,
Onward Towards Our Noble Deaths,Shigeru Mizuki,"4.03 avg rating — 2,443 ratings",False,
Orbiter,Warren Ellis,"3.58 avg rating — 2,241 ratings",False,
Ordinary Victories,Manu Larcenet,"4.25 avg rating — 1,595 ratings",False,
Osaka Mime,Andy Leavy|(Writer),3.83 avg rating — 35 ratings,False,
Other Boys,Damian Alexander,"4.14 avg rating — 1,074 ratings",False,
Otto: A Palindrama,Jon Agee,3.79 avg rating — 746 ratings,False,
Our Cancer Year,Harvey Pekar,"3.91 avg rating — 1,283 ratings",False,
Our Little Secret,Emily  Carrington,4.18 avg rating — 404 ratings,False,
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",Bisco Hatori,"4.38 avg rating — 183,345 ratings",False,
Over My Dead Body,Sweeney Boo,"3.87 avg rating — 4,608 ratings",False,
Over the Ropes Vol. 1,Jay Sandlin,3.62 avg rating — 34 ratings,False,
"Owly, Vol. 1:  The Way Home & The Bittersweet Summer (Owly, #1)",Andy Runton,"4.10 avg rating — 7,356 ratings",False,
Oz: Ozma of Oz,Eric Shanower,"4.19 avg rating — 1,959 ratings",False,
Oz: The Wonderful Wizard of Oz,Eric Shanower,"4.09 avg rating — 26,069 ratings",False,
Pacey Packer Unicorn Tracker 2: Horn Slayer: (A Graphic Novel),J.C. Phillipps,3.91 avg rating — 79 ratings,False,
"Pacey Packer, Unicorn Tracker",J.C. Phillipps,3.92 avg rating — 165 ratings,False,
Pachyderme,Frederik Peeters,3.58 avg rating — 583 ratings,False,
Page by Paige: A Graphic Novel,Laura Lee Gulledge,"3.92 avg rating — 9,023 ratings",False,
Palestine,Joe Sacco,"4.24 avg rating — 19,543 ratings",False,
Palomar: The Heartbreak Soup Stories,Gilbert Hernández,"4.34 avg rating — 2,114 ratings",False,
Pandora Hearts 1巻,Jun Mochizuki,"4.19 avg rating — 25,802 ratings",False,
Panorama of Hell,Hideshi Hino,3.77 avg rating — 801 ratings,False,
Panter,Brecht Evens,"4.21 avg rating — 1,844 ratings",False,
Pantera: Vulgar Display of Power,Steve Niles,3.80 avg rating — 5 ratings,False,
Pantheon: The True Story of the Egyptian Deities,Hamish Steele,"4.29 avg rating — 1,207 ratings",False,
"Paper Girls, Volume 1",Brian K. Vaughan|(Writer),"3.89 avg rating — 104,049 ratings",False,
Paper Planes,Jennie Wood,"3.65 avg rating — 1,811 ratings",False,
Parable of the Sower: A Graphic Novel Adaptation,Damian Duffy|(Adapter),"3.99 avg rating — 4,202 ratings",False,
"Paradise Kiss, Vol. 1",Ai Yazawa,"4.15 avg rating — 18,565 ratings",False,
PARADOX: Super Indy,Alex Letner,4.81 avg rating — 64 ratings,False,
Parasomnia,Cullen Bunn,2.84 avg rating — 101 ratings,False,
Parasyte 1,Hitoshi Iwaaki,"4.29 avg rating — 11,609 ratings",False,
Parenthesis,Élodie Durand,"4.14 avg rating — 1,617 ratings",False,
Parenting Advice to Ignore in Art and Life,Nicole Tersigni,3.69 avg rating — 81 ratings,False,
"Path of the Assassin, Vol. 1: Serving in the Dark",Kazuo Koike,3.89 avg rating — 433 ratings,False,
Patience & Esther,Sarah Winifred Searle,"3.84 avg rating — 1,596 ratings",False,
Paul Goes Fishing,Michel Rabagliati,"4.26 avg rating — 1,991 ratings",False,
Paul Has a Summer Job,Michel Rabagliati,"4.12 avg rating — 3,052 ratings",False,
Paul in the Country,Michel Rabagliati,"3.94 avg rating — 1,730 ratings",False,
Paul Moves Out,Michel Rabagliati,"4.04 avg rating — 2,049 ratings",False,
Pawcasso,Remy Lai,"4.08 avg rating — 1,669 ratings",False,
Pax Samson Vol. 1: The Cookout (1),Rashad Doucet,3.52 avg rating — 93 ratings,False,
Paying for It,Chester Brown,"3.63 avg rating — 5,342 ratings",False,
Paying the Land,Joe Sacco,"4.34 avg rating — 2,752 ratings",False,
"Pedro and Me: Friendship, Loss, and What I Learned",Judd Winick,"4.05 avg rating — 2,786 ratings",False,
Penguin: Pain and Prejudice,Gregg Andrew Hurwitz,3.90 avg rating — 912 ratings,False,
Pentti & Deathgirl,Emma Rendel,3.33 avg rating — 42 ratings,False,
Percy Gloom,Cathy Malkasian,3.80 avg rating — 436 ratings,False,
Perfect Example,John Porcellino,3.78 avg rating — 596 ratings,False,
Perkeros,J.P. Ahonen,"3.82 avg rating — 1,008 ratings",False,
"Persepolis, Volume 1",Marjane Satrapi,"4.30 avg rating — 91,147 ratings",False,
"Persepolis, Volume 2",Marjane Satrapi,"4.42 avg rating — 3,616 ratings",False,
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"4.26 avg rating — 213,529 ratings",False,
"Pet Shop of Horrors, Vol. 1 (Pet Shop of Horrors, #1)",Matsuri Akino,"4.22 avg rating — 6,245 ratings",False,
"Peter & Ernesto: Sloths in the Night (Peter & Ernesto, 3)",Graham  Annable,4.22 avg rating — 400 ratings,False,
Petshop of Horrors 1,Matsuri Akino,4.22 avg rating — 383 ratings,False,
Phantom Road Volume 1,Jeff Lemire,3.78 avg rating — 542 ratings,False,
"Phoenix, Vol. 1: Dawn",Osamu Tezuka,4.18 avg rating — 985 ratings,False,
"Phonogram, Vol. 1: Rue Britannia",Kieron Gillen,"3.36 avg rating — 2,985 ratings",False,
"Phoolan Devi, Rebel Queen",Claire Fauvel,4.40 avg rating — 426 ratings,False,
Piece by Piece: The Story of Nisrin's Hijab: A Graphic Novel,Priya Huq,"4.01 avg rating — 1,026 ratings",False,
Pim and Francie: The Golden Bear Days,Al Columbia,4.22 avg rating — 603 ratings,False,
Pinball: A Graphic History of the Silver Ball,Jon Chad,4.15 avg rating — 643 ratings,False,
Pinocchio,Winshluss,"4.11 avg rating — 1,820 ratings",False,
Pitch Black,Youme Landowne|(artist),3.81 avg rating — 573 ratings,False,
Pixels of You: A Graphic Novel,Ananth Hirsh|(Co-writer),"3.37 avg rating — 2,717 ratings",False,
Pizzeria Kamikaze,Etgar Keret,"3.79 avg rating — 1,517 ratings",False,
"Planetary, Volume 1: All Over the World and Other Stories",Warren Ellis|(Writer),"4.19 avg rating — 14,548 ratings",False,
"Planetes, Volume 1 (Planetes, #1)",Makoto Yukimura,"4.10 avg rating — 3,058 ratings",False,
"Plum Crazy! Tales of a Tiger-Striped Cat, Vol. 5",Hoshino Natsumi,4.06 avg rating — 63 ratings,False,
Plunge,Joe Hill,"3.84 avg rating — 2,209 ratings",False,
"Plus ne m'est rien (Sambre, #1)",Yslaire,3.78 avg rating — 538 ratings,False,
"PLUTO: Naoki Urasawa x Ozamu Tezuka, Vol.1",Naoki Urasawa,"4.40 avg rating — 9,806 ratings",False,
Poe: Stories and Poems: A Graphic Novel; Illustrated by Gareth Hinds,Gareth Hinds,"4.10 avg rating — 2,138 ratings",False,
Poems to See by: A Comic Artist Interprets Great Poetry,Julian Peters,4.20 avg rating — 627 ratings,False,
Poetry Comics,Grant Snider,4.31 avg rating — 395 ratings,False,
Pogo: We Have Met the Enemy and He is Us,Walt Kelly,4.44 avg rating — 239 ratings,False,
Poison Flowers & Pandemonium,Richard Sala,3.44 avg rating — 190 ratings,False,
Poison Ivy Thorns,Kody Keplinger,"3.88 avg rating — 3,016 ratings",False,
"Pokémon Adventures, Vol. 1 (Pokémon Adventures, #1)",Hidenori Kusaka,"4.29 avg rating — 6,773 ratings",False,
Polina,Bastien Vivès,"3.90 avg rating — 2,996 ratings",False,
"Polly and the Pirates, Volume 1 (Polly & the Pirates, #1)",Ted Naifeh,3.91 avg rating — 943 ratings,False,
Post York,James Romberger,2.59 avg rating — 222 ratings,False,
Potential,Ariel Schrag,"3.83 avg rating — 1,691 ratings",False,
Power Up (A Power Up Graphic Novel),Sam Nisson,3.89 avg rating — 198 ratings,False,
"Powers, Vol. 1: Who Killed Retro Girl?",Brian Michael Bendis,"3.98 avg rating — 9,627 ratings",False,
Powr Mastrs 1,C.F.,4.11 avg rating — 491 ratings,False,
"Preacher, Book 1",Garth Ennis,"4.18 avg rating — 87,683 ratings",False,
"Preacher, Volume 1: Gone to Texas",Garth Ennis,"4.18 avg rating — 87,683 ratings",False,
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,"4.25 avg rating — 267,488 ratings",False,
"Pretty Deadly, Vol. 1: The Shrike",Kelly Sue DeConnick,"3.79 avg rating — 13,361 ratings",True,
"Pretty Deadly, Vol. 3: The Rat",Kelly Sue DeConnick,4.11 avg rating — 686 ratings,True,
"Pretty Guardian Sailor Moon Eternal Edition, Vol. 1",Naoko Takeuchi,"4.49 avg rating — 4,968 ratings",False,
Pride & Prejudice,Stacy King|(Adaptor),"4.16 avg rating — 8,365 ratings",False,
Pride of Baghdad,Brian K. Vaughan,"3.89 avg rating — 25,039 ratings",False,
"Primates: The Fearless Science of Jane Goodall, Dian Fossey, and Biruté Galdikas (Primates, 1)",Jim Ottaviani,"3.84 avg rating — 7,187 ratings",False,
Primer,Jennifer Muro|(Written by),"4.03 avg rating — 5,856 ratings",False,
Primordial,Jeff Lemire,3.38 avg rating — 905 ratings,False,
"Prince Valiant, Vol. 1: 1937-1938",Hal  Foster,4.34 avg rating — 723 ratings,False,
Princeless #1,Jeremy Whitley,4.26 avg rating — 827 ratings,False,
"Prison Pit, Vol. 1",Johnny Ryan,3.73 avg rating — 667 ratings,False,
Prisoners of the Sun (Tintin #14),Hergé,"4.23 avg rating — 15,360 ratings",False,
Project Nought,Chelsey Furedi,"4.14 avg rating — 3,210 ratings",False,
"Promethea, Vol. 1",Alan             Moore,"3.91 avg rating — 12,668 ratings",False,
Promethee 13:13 (Prometheus #0.1),Andy Diggle,3.43 avg rating — 124 ratings,False,
"Prophet, Volume 1: Remission","Brandon Graham|(Writer, Artist)","3.88 avg rating — 3,559 ratings",False,
"Public Domain, Volume 1: Past Mistakes",Chip Zdarsky,3.94 avg rating — 820 ratings,False,
Pulp,Ed Brubaker,"4.31 avg rating — 4,742 ratings",False,
Pumpkinheads,Rainbow Rowell,"4.03 avg rating — 84,053 ratings",False,
Punk Rock In Comics,,,False,
Punk Rock Jesus,Sean Gordon Murphy,"3.92 avg rating — 3,576 ratings",False,
Putin's Russia: The Rise of a Dictator,Darryl Cunningham,"3.98 avg rating — 1,145 ratings",False,
Pyongyang: A Journey in North Korea,Guy Delisle,"3.88 avg rating — 27,237 ratings",False,
Quartier lointain,Jirō Taniguchi,"4.40 avg rating — 4,290 ratings",False,
